simplified name, hostname, example
cnyes, news.cnyes.com, https://news.cnyes.com/news/id/4352432
udn, udn.com, https://udn.com/news/story/120775/4112519
mirrormedia, www.mirrormedia.mg, https://www.mirrormedia.mg/story/20191008soc011/
chinatimes, www.chinatimes.com, https://www.chinatimes.com/realtimenews/20190917000619-260106
domestic.judicial, domestic.judicial.gov.tw, http://domestic.judicial.gov.tw/abbs/wkw/WHD9HN03.jsp?crtid=PTD&filenm=ECE5DAECAF563DA171E34B03FC5185742FC90F879191D5DF
coolloud, www.coolloud.org.tw, http://www.coolloud.org.tw/node/93356
ctee, m.ctee.com.tw, https://m.ctee.com.tw/livenews/gj/ctee/a07672002019081610333753
mops.twse, mops.twse.com.tw, https://mops.twse.com.tw/mops/web/t05st02?step=1&off=1&firstin=1&TYPEK=sii&i=50&h500=%A4%57%BA%D6%A5%FE%B2%79&h501=6128&h502=20190823&h503=83355&h504=%B8%C9%A4%BD%A7%69-%A5%4E%AD%AB%AD%6E%A4%6C%A4%BD%A5%71%A4%5B%BA%D6%BF%B3%B7%7E%AA%D1%A5%F7%A6%B3%AD%AD%A4%BD%A5%71%A4%BD%A7%69%0D%0A%B8%B3%A8%C6%AA%F8%A5%F4%B4%C1%A9%A1%BA%A1%C4%F2%A5%F4&h505=1&pgname=t05st02
hk01, www.hk01.com, https://www.hk01.com/社會新聞/383851/逃犯條例-建造業議會指立法會積壓700億工程撥款-冀加快審批
wealth, www.wealth.com.tw, https://www.wealth.com.tw/home/articles/22906
ebc, news.ebc.net.tw, https://news.ebc.net.tw/News/Article/162125
mingpao, news.mingpao.com, https://news.mingpao.com/ins/%e6%b8%af%e8%81%9e/article/20191005/s00001/1570236315969/%e5%a4%a9%e6%99%b4%e4%b9%be%e7%87%a5-%e6%9c%80%e9%ab%98%e6%b0%a3%e6%ba%ab32%e5%ba%a6
bnext, www.bnext.com.tw, https://www.bnext.com.tw/article/54860/tappay-crosssite-fintech
ltn, news.ltn.com.tw, http://news.ltn.com.tw/news/society/breakingnews/2920533
finance.technews, finance.technews.tw, http://finance.technews.tw/2019/07/09/huawei-os-information-security/
fsc, www.fsc.gov.tw, https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2&mcustomize=news_view.jsp&dataserno=201908130002&aplistdn=ou=news,ou=multisite,ou=chinese,ou=ap_root,o=fsc,c=tw&dtable=News
tvbs, news.tvbs.com.tw, https://news.tvbs.com.tw/politics/1191254
cw, www.cw.com.tw, https://www.cw.com.tw/article/article.action?id=5096708
businesstoday, www.businesstoday.com.tw, https://www.businesstoday.com.tw/article/category/80401/post/201910010012/
sina, sina.com.hk, https://sina.com.hk/news/article/20190919/1/11/2/%E9%BE%90%E5%A4%A7%E8%91%A3%E4%BA%8B%E6%8F%9B%E8%A1%80%E6%B7%B1%E5%95%86%E6%8E%A7%E8%82%A1%E5%92%8C%E5%85%83%E7%B6%AD%E8%B3%87%E7%94%A2%E9%AB%98%E7%AE%A1%E5%85%A5%E9%A7%90-10637091.html
ettoday, www.ettoday.net, https://www.ettoday.net/amp/amp_news.php?news_id=1521289&from=rss
on.cc, hk.on.cc, https://hk.on.cc/hk/bkn/cnt/cnnews/20191030/bkn-20191030004558287-1030_00952_001.html
technews, technews.tw, http://technews.tw/2019/10/02/pdf-file-scheme-vulanerable-makes-another-people-can-have-a-skim-on-encrypted-text/
money.udn, money.udn.com, https://money.udn.com/money/story/5648/4005282?from=ednappsharing
yahoo, tw.news.yahoo.com, https://tw.news.yahoo.com/%E5%BB%89%E6%94%BF-%E6%BC%94%E8%AD%A63%E5%BA%A6%E6%B6%89%E6%AF%92-%E5%87%BA%E7%8D%84%E6%88%90%E8%A9%90%E6%AC%BA%E9%9B%86%E5%9C%98%E9%A6%96%E8%85%A6-113500225.html
setn, www.setn.com, https://www.setn.com/News.aspx?NewsID=606443
managertoday, www.managertoday.com.tw, https://www.managertoday.com.tw/articles/view/57894
cna, www.cna.com.tw, https://www.cna.com.tw/news/asoc/201906180229.aspx
estate.ltn, estate.ltn.com.tw, http://estate.ltn.com.tw/article/6814
ltn, m.ltn.com.tw, https://m.ltn.com.tw/news/society/breakingnews/2730606
ccc.technews, ccc.technews.tw, http://ccc.technews.tw/2019/07/03/samsung-galaxy-fold-redesign/
hbrtaiwan, www.hbrtaiwan.com, https://www.hbrtaiwan.com/article_content_AR0008940.html
ec.ltn, ec.ltn.com.tw, https://ec.ltn.com.tw/article/paper/1277631
nownews, www.nownews.com, https://www.nownews.com/news/20190802/3537141/
ol.mingpao, ol.mingpao.com, https://ol.mingpao.com/php/showbiz3.php?nodeid=1574344935179&subcate=latest&issue=20191121
nextmag, www.nextmag.com.tw, https://www.nextmag.com.tw/realtimenews/news/467512
ent.ltn, ent.ltn.com.tw, http://ent.ltn.com.tw/news/breakingnews/2677992
storm, www.storm.mg, https://www.storm.mg/article/1625523
house.ettoday, house.ettoday.net, https://house.ettoday.net/news/1522144
